"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 31 15:25:37 BDT 2024","Wed Jul 31 15:25:38 BDT 2024","1196","","Testing demoPlaywright plage","","","","Verify that tasks are added to the ToDo list",""
"passed","Wed Jul 31 15:25:39 BDT 2024","Wed Jul 31 15:25:39 BDT 2024","184","","Testing demoPlaywright plage","","","","Verify that user is able to see only the active tasks after clearing the active tasks",""
"passed","Wed Jul 31 15:25:38 BDT 2024","Wed Jul 31 15:25:39 BDT 2024","297","","Testing demoPlaywright plage","","","","verify that task can be deleted",""
"passed","Wed Jul 31 15:25:15 BDT 2024","Wed Jul 31 15:25:37 BDT 2024","22535","","Testing demoPlaywright plage","","","","Verify that user is able to navigate to desired page",""
"passed","Wed Jul 31 15:25:39 BDT 2024","Wed Jul 31 15:25:39 BDT 2024","108","","Testing demoPlaywright plage","","","","Verify that user is able to see the active tasks",""
"passed","Wed Jul 31 15:25:39 BDT 2024","Wed Jul 31 15:25:39 BDT 2024","282","","Testing demoPlaywright plage","","","","Verify that user is able to mark task as complete",""
